P	T	Rho_l		Rho_v		H_l		H_v
0.2	80	62.39559868	0.000655338	-13590.40327	326470.3822	
5.66	170	60.84674727	0.015276454	15559.12086	338694.9167	
14.48	210	59.8478337	0.036795432	28585.95237	343657.339	
31.42	250	58.73651411	0.075955464	41703.76973	348218.7029	
44.23	270	58.14102367	0.104648742	48308.80193	350327.0523	
81.73	310	56.86847607	0.186443169	61641.02159	354179.6274	
107.91	330	56.18947792	0.242484635	68380.28044	355851.4248	
158.86	360	55.11300979	0.350396779	78599.88318	358025.8965	
202.01	380	54.35354481	0.441287027	85495.70976	359227.4503	
226.73	390	53.96027472	0.493318797	88971.72957	359763.2758	
283.16	410	53.1447273	0.612294606	95985.5675	360580.1666	
349.92	430	52.28732148	0.753852297	103097.2377	361114.1905	
387.56	440	51.84173937	0.834219955	106693.2508	361322.6472	
428.27	450	51.38401867	0.921691627	110319.3522	361422.8217	
472.22	460	50.91354106	1.016845242	113975.3618	361383.3645	
519.58	470	50.42967077	1.120306775	117666.1443	361374.1758	
570.54	480	49.93154262	1.232802999	121394.2219	361215.0857	
625.3	490	49.41817184	1.35515181	125161.7568	360887.897	
684.04	500	48.88870827	1.488208281	128975.4152	360503.7745	
746.98	510	48.34186031	1.633016279	132838.8005	360078.9337	
814.31	520	47.77650029	1.790670746	136758.0385	359495.363	
886.25	530	47.19110208	1.962481359	140734.3904	358687.1204	
963.02	540	46.58396795	2.149938137	144774.5225	357754.3803	
1044.84	550	45.9531754	2.354753622	148886.3622	356774.4357	
1131.96	560	45.29629549	2.578995517	153075.4949	355631.2571	
1224.6	570	44.61078969	2.825008586	157344.8032	354523.2116	
1323.01	580	43.89348209	3.095665893	161722.754	352833.3971	
1427.45	590	43.14062337	3.394458128	166192.2312	351106.6478	
1538.16	600	42.34795566	3.725599456	170805.6643	348997.758	
1655.41	610	41.51007563	4.094455571	175574.0435	346699.3293	
1779.47	620	40.62011847	4.507894127	180515.9264	344386.1267	
1910.62	630	39.66871468	4.974991546	185615.8184	340307.6184	
2049.15	640	38.64241451	5.508107256	190952.8142	336900.0632	
2195.33	650	37.52179047	6.124481579	196638.2587	334969.902	
2349.46	660	36.27905598	6.849262845	202556.1225	331175.1614	
2511.85	670	34.86860889	7.720964292	209310.5156	324978.3944	
2682.81	680	33.21029877	8.812497617	216274.0861	316548.2401	
2862.65	690	31.13411457	10.27841544	226343.7874	309464.3161	
3051.7	700	28.10200669	12.61503098	242212.8007	294174.189
3123    0   24.1        15       0           0
3185	647.096	20.102		20.102		0		0
